latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
37.89735,24.92456,331.45,0.46,0.39,2021-02-11,1133,N,VIIRS,n,2,292.06,6.33,D,0
39.16825,22.84221,303.29,0.43,0.46,2021-02-11,2352,N,VIIRS,n,2,279.04,0.88,N,2
37.91898,23.07111,296.76,0.41,0.45,2021-02-11,2353,N,VIIRS,n,2,285.45,0.78,N,2
38.12809,23.52338,309.89,0.39,0.44,2021-02-11,2353,N,VIIRS,n,2,283.76,1.53,N,2
38.03937,23.50977,312.3,0.39,0.44,2021-02-11,2353,N,VIIRS,n,2,284.65,1.52,N,0
38.03535,23.509,298.29,0.39,0.44,2021-02-11,2353,N,VIIRS,n,2,284.73,0.88,N,3
39.38621,22.80771,296.24,0.71,0.75,2021-02-12,0132,N,VIIRS,n,2,276.88,0.79,N,2
38.56602,23.29346,298.76,0.79,0.78,2021-02-12,0133,N,VIIRS,n,2,280.3,1.18,N,2
38.56309,23.29504,295.89,0.79,0.78,2021-02-12,0133,N,VIIRS,n,2,280.39,1.4,N,2
35.23964,24.20646,326.17,0.41,0.37,2021-02-12,1113,N,VIIRS,n,2,285.88,3,D,0
35.24037,24.2107,328.76,0.41,0.37,2021-02-12,1113,N,VIIRS,n,2,288.85,5.9,D,0
38.44864,23.07233,330.59,0.41,0.37,2021-02-12,1114,N,VIIRS,n,2,292.84,1.96,D,0
38.39988,22.99742,329.71,0.42,0.37,2021-02-12,1114,N,VIIRS,n,2,294.65,1.66,D,0
40.54341,22.6894,341.44,0.41,0.37,2021-02-12,1115,N,VIIRS,n,2,285.49,10.09,D,0
40.5732,22.76001,328.98,0.4,0.37,2021-02-12,1115,N,VIIRS,n,2,282.16,1.96,D,0
40.55627,22.62082,342.33,0.41,0.37,2021-02-12,1115,N,VIIRS,n,2,283.24,7.27,D,0
40.57066,22.76572,325.67,0.4,0.37,2021-02-12,1115,N,VIIRS,n,2,297.61,40.78,D,0
40.9089,24.63218,328.63,0.38,0.36,2021-02-12,1115,N,VIIRS,n,2,287.08,1.1,D,0
40.92548,23.79198,328.24,0.39,0.36,2021-02-12,1115,N,VIIRS,n,2,284.46,5.02,D,0
40.92474,23.78741,327.72,0.39,0.36,2021-02-12,1115,N,VIIRS,n,2,283.84,2.97,D,0
35.20477,24.5955,339.34,0.42,0.45,2021-02-13,1054,N,VIIRS,n,2,284.9,4.45,D,0
39.54182,22.32175,305.51,0.4,0.37,2021-02-16,0017,N,VIIRS,n,2,265.25,0.78,N,0
40.72464,23.06287,298.74,0.39,0.36,2021-02-16,0017,N,VIIRS,n,2,266.59,0.42,N,0
38.1305,21.64054,302.01,0.4,0.37,2021-02-16,0018,N,VIIRS,n,2,271.72,0.87,N,0
40.25957,23.37284,328.32,0.49,0.4,2021-02-16,1140,N,VIIRS,n,2,286.4,8.45,D,3
40.63577,22.82703,334.11,0.47,0.4,2021-02-16,1140,N,VIIRS,n,2,278.64,5.13,D,0
40.26009,23.37042,336.71,0.49,0.4,2021-02-16,1140,N,VIIRS,n,2,285.59,8.7,D,0
38.03853,23.51184,302.17,0.49,0.4,2021-02-16,2359,N,VIIRS,n,2,277.83,2,N,0
38.12871,23.52581,308.82,0.49,0.4,2021-02-16,2359,N,VIIRS,n,2,271.17,2.03,N,2
38.4807,21.20715,329.63,0.42,0.38,2021-02-17,1120,N,VIIRS,n,2,287.07,3.16,D,0
37.80317,23.05454,327.97,0.39,0.36,2021-02-17,1120,N,VIIRS,n,2,283.36,3.02,D,0
37.04136,22.0389,329.22,0.41,0.37,2021-02-17,1120,N,VIIRS,n,2,289.12,2.42,D,0
41.12595,23.41552,326.88,0.47,0.4,2021-02-18,1102,N,VIIRS,n,2,290.8,2.08,D,0
40.46849,22.89926,342.32,0.5,0.41,2021-02-18,1102,N,VIIRS,n,2,289.4,12.62,D,0
40.71898,22.57534,343.65,0.51,0.41,2021-02-18,1102,N,VIIRS,n,2,286.17,9.01,D,0
41.07271,25.17708,328.71,0.42,0.37,2021-02-18,1102,N,VIIRS,n,2,283.92,3.21,D,0
40.71725,22.57394,325.98,0.51,0.41,2021-02-18,1102,N,VIIRS,n,2,286.52,10.82,D,0
38.03759,23.51171,299.68,0.34,0.56,2021-02-19,0102,N,VIIRS,n,2,280.02,1.2,N,0
38.03937,23.51294,299.13,0.34,0.56,2021-02-19,0102,N,VIIRS,n,2,280.75,0.96,N,0
41.00903,23.46572,336.03,0.51,0.49,2021-02-19,1043,N,VIIRS,n,2,285.59,4.89,D,0
40.69683,22.74211,331.2,0.56,0.52,2021-02-19,1043,N,VIIRS,n,2,291.61,3.89,D,0
40.33997,22.61313,332.9,0.58,0.52,2021-02-19,1043,N,VIIRS,n,2,290.3,4.32,D,0
41.04072,23.45689,349.3,0.51,0.49,2021-02-19,1043,N,VIIRS,n,2,284.8,9.24,D,0
41.04119,23.45883,340.35,0.51,0.49,2021-02-19,1043,N,VIIRS,n,2,285.12,5.76,D,0
41.03679,23.46065,334.26,0.51,0.49,2021-02-19,1043,N,VIIRS,n,2,284.79,5.76,D,0
41.03334,23.50725,338.57,0.51,0.49,2021-02-19,1043,N,VIIRS,n,2,286.97,4.07,D,0
41.03489,23.50636,326.06,0.61,0.71,2021-02-19,1224,N,VIIRS,n,2,272.1,5.18,D,0
41.03851,23.50826,338.32,0.61,0.71,2021-02-19,1224,N,VIIRS,n,2,272.99,3.85,D,0
38.12945,23.52654,301.85,0.39,0.44,2021-02-20,0043,N,VIIRS,n,2,275.39,1,N,2
39.35351,22.98473,301.46,0.52,0.42,2021-02-20,0043,N,VIIRS,n,2,279.15,1.67,N,2
35.27441,24.39017,332.37,0.56,0.69,2021-02-20,1023,N,VIIRS,n,2,275.35,3.71,D,0
35.2687,24.39404,340.83,0.56,0.69,2021-02-20,1023,N,VIIRS,n,2,278.04,5.12,D,0
40.9871,22.06549,326.41,0.58,0.52,2021-02-20,1205,N,VIIRS,n,2,283.26,2.11,D,0
41.01508,22.09423,328.22,0.51,0.41,2021-02-21,1146,N,VIIRS,n,2,290.4,3.16,D,0
39.62026,20.96151,329.55,0.45,0.39,2021-02-21,1146,N,VIIRS,n,2,291.24,4.3,D,0
39.61963,20.95638,328.31,0.45,0.39,2021-02-21,1146,N,VIIRS,n,2,291.29,4.3,D,0
39.7472,20.77624,335.29,0.44,0.39,2021-02-21,1146,N,VIIRS,n,2,291.75,3.49,D,0
40.68477,21.12776,329.1,0.47,0.39,2021-02-21,1146,N,VIIRS,n,2,284.23,6.84,D,0
40.68406,21.12171,335.95,0.47,0.39,2021-02-21,1146,N,VIIRS,n,2,287.99,6.84,D,0
38.12804,23.52399,304.83,0.43,0.38,2021-02-22,0005,N,VIIRS,n,2,279.19,1.56,N,2
38.37427,24.05991,296.76,0.42,0.38,2021-02-22,0005,N,VIIRS,n,2,277.74,0.71,N,2
39.1664,22.84277,295.67,0.47,0.39,2021-02-22,0005,N,VIIRS,n,2,273.83,1.12,N,2
37.81415,21.31785,341.59,0.39,0.36,2021-02-22,1127,N,VIIRS,n,2,294.69,4.09,D,0
37.97574,22.04768,329.77,0.39,0.36,2021-02-22,1127,N,VIIRS,n,2,290.11,4.3,D,0
37.97506,22.04334,329.67,0.39,0.36,2021-02-22,1127,N,VIIRS,n,2,290.09,4.31,D,0
37.89986,21.38867,333.62,0.39,0.36,2021-02-22,1127,N,VIIRS,n,2,306.05,44.34,D,0
37.90317,21.38781,332.86,0.39,0.36,2021-02-22,1127,N,VIIRS,n,2,292.23,6.27,D,0
38.45731,21.61271,333.56,0.39,0.36,2021-02-22,1127,N,VIIRS,n,2,292.72,3.02,D,0
39.21261,25.89371,335.8,0.45,0.39,2021-02-22,1127,N,VIIRS,n,2,287.72,2.74,D,0
39.24288,20.56308,338.34,0.4,0.37,2021-02-22,1127,N,VIIRS,n,2,292.34,1.72,D,0
39.25618,20.55941,342.79,0.4,0.37,2021-02-22,1127,N,VIIRS,n,2,291.95,2.25,D,0
40.95198,24.72403,331.78,0.43,0.38,2021-02-22,1127,N,VIIRS,n,2,291.11,5.82,D,0
40.67945,22.68256,354.09,0.39,0.36,2021-02-22,1127,N,VIIRS,n,2,296.22,5.04,D,0
40.67879,22.67798,325.25,0.39,0.36,2021-02-22,1127,N,VIIRS,n,2,292.99,5.04,D,0
